close,high,low,open,symbol,date,changePercent
2270.67,2273.97,2237.255,2245.44,GOOGL,09-04-2021,0.009
2244.62,2256.885,2227.82,2254.12,GOOGL,12-04-2021,-0.0115
2254.43,2263.47,2243.05,2250.99,GOOGL,13-04-2021,0.0044
2241.91,2267.43,2236.015,2267.43,GOOGL,14-04-2021,-0.0056
2285.25,2296,2251.17,2261.95,GOOGL,15-04-2021,0.0193
2282.75,2294.24,2270.92,2289.24,GOOGL,16-04-2021,-0.0011
2289.76,2304.09,2270.18,2270.18,GOOGL,19-04-2021,0.0031
2279.01,2298.9999,2257.12,2297.49,GOOGL,20-04-2021,-0.0047
2278.35,2280,2244.82,2272.05,GOOGL,21-04-2021,-0.0003
2252.52,2288.8814,2240.32,2275.4,GOOGL,22-04-2021,-0.0113
2299.93,2306.1175,2261.25,2267,GOOGL,23-04-2021,0.021
2309.93,2324.53,2297.315,2304.52,GOOGL,26-04-2021,0.0043
2290.98,2318.45,2286.16,2317.6326,GOOGL,27-04-2021,-0.0082
2359.04,2431.38,2353.22,2392.4954,GOOGL,28-04-2021,0.0297
2392.76,2404.16,2373.85,2389.23,GOOGL,29-04-2021,0.0143
2353.5,2381.85,2346.56,2368.02,GOOGL,30-04-2021,-0.0164
2343.08,2381.55,2335.5,2364.91,GOOGL,03-05-2021,-0.0044
2306.83,2324.9899,2256.68,2313.55,GOOGL,04-05-2021,-0.0155
2314.77,2335,2308.28,2328.63,GOOGL,05-05-2021,0.0034
2337.35,2337.35,2293.0418,2306.33,GOOGL,06-05-2021,0.0098
2351.93,2371.25,2346.155,2363.89,GOOGL,07-05-2021,0.0062
2291.75,2331,2284.54,2328.14,GOOGL,10-05-2021,-0.0256
2270.06,2280.28,2233.92,2243.07,GOOGL,11-05-2021,-0.0095
2200.25,2247.98,2193.62,2226.19,GOOGL,12-05-2021,-0.0308
2229.04,2239.4375,2206.72,2226.12,GOOGL,13-05-2021,0.0131
2278.38,2284.72,2250,2258.54,GOOGL,14-05-2021,0.0221
2288.92,2289.78,2255.5101,2263.57,GOOGL,17-05-2021,0.0046
2262.47,2307.6818,2262.19,2302.35,GOOGL,18-05-2021,-0.0116
